Rank,Team,Value,Revenue,O_Income,Year
1,Yankees,225,98,24.5,1990
2,Mets,200,81.1,15.8,1990
3,Dodgers,200,64.4,7.6,1990
4,Orioles,200,47.9,9.6,1990
5,Red Sox,180,68.7,12.3,1990
6,Blue Jays,178,77.5,13.9,1990
7,Phillies,130,61.9,11.1,1990
8,Cardinals,126,55.8,20.5,1990
9,Cubs,125,50.3,9.2,1990
10,White Sox,125,49,8.8,1990
11,Royals,122,53.2,-9.8,1990
12,Athletics,116,57.9,12.4,1990
13,Giants,105,50,9,1990
14,Reds,102,48.7,11,1990
15,Angels,102,48.6,8.7,1990
16,Rangers,101,50.3,9.1,1990
17,Padres,99,47.2,8.5,1990
18,Astros,92,40,-2,1990
19,Tigers,84,38,5.1,1990
20,Pirates,82,41.1,-0.7,1990
21,Twins,81,38.6,0.6,1990
22,Brewers,81,38.4,3.9,1990
23,Indians,75,34.8,-6.8,1990
24,Braves,74,35.4,7.8,1990
25,Expos,74,35.3,6.4,1990
26,Mariners,71,34,-3.1,1990
1,Yankees,200,90,30.4,1991
2,Dodgers,180,79.3,7.3,1991
3,Mets,170,91.1,20.7,1991
4,Blue Jays,160,88.7,26.3,1991
5,Red Sox,160,81.5,10.7,1991
6,Orioles,140,50.6,11.1,1991
7,White Sox,140,78,18,1991
8,Cardinals,132,59.1,12.7,1991
9,Cubs,132,64.5,6.5,1991
10,Rangers,123,61.5,13.9,1991
11,Royals,117,53.6,-7.2,1991
12,Phillies,115,48.2,4.8,1991
13,Athletics,115,64,-1.7,1991
14,Angels,103,54.1,-7.6,1991
15,Giants,99,48.9,-4.4,1991
16,Reds,98,49,0.2,1991
17,Padres,96,48.4,-0.4,1991
18,Astros,95,46,14.5,1991
19,Pirates,87,45.8,-4,1991
20,Tigers,85,51.6,-2.8,1991
21,Braves,83,40.3,-0.5,1991
22,Twins,83,44.1,-4.1,1991
23,Mariners,79,44.7,2.9,1991
24,Brewers,77,38.8,-11.4,1991
25,Indians,77,42,-4.8,1991
26,Expos,75,39.4,-4.2,1991
1,Yankees,160,94.6,25,1992
2,Blue Jays,155,87.7,-1.3,1992
3,Mets,145,86.9,5.6,1992
4,Red Sox,136,90.6,11.7,1992
5,Dodgers,135,84.2,14.7,1992
6,Orioles,130,83.5,34.2,1992
7,Athletics,124,64.4,-12.8,1992
8,White Sox,123,77.9,16.7,1992
9,Royals,111,52,-5.1,1992
10,Rangers,106,66.2,14.8,1992
11,Angels,105,55.8,-0.3,1992
12,Padres,103,53.6,-0.3,1992
13,Giants,103,47,-11.1,1992
14,Reds,103,49.6,-11.8,1992
15,Cubs,101,64,5.1,1992
16,Cardinals,98,50.9,3.3,1992
17,Tigers,97,50.5,-3.2,1992
18,Phillies,96,50,-0.3,1992
19,Twins,95,52.8,0.2,1992
20,Pirates,95,50.1,-9.9,1992
21,Braves,88,50.7,-9,1992
22,Astros,87,43.3,11.4,1992
23,Expos,86,46.7,11.8,1992
24,Mariners,81,45.4,-2.4,1992
25,Brewers,86,45.3,-12.8,1992
26,Cleveland,81,39.9,13.6,1992
1,Yankees,166,107.6,18.2,1993
2,Blue Jays,150,88.4,1.3,1993
3,Mets,147,80.8,4.9,1993
4,Red Sox,141,77.5,7.4,1993
5,Dodgers,138,79.7,11.1,1993
6,White Sox,133,78.8,10.7,1993
7,Rangers,132,60.3,1.1,1993
8,Orioles,129,81.3,28.9,1993
9,Cubs,120,82.8,7.4,1993
10,Athletics,114,60.1,-0.4,1993
11,Rockies,110,52.2,12.7,1993
12,Cardinals,105,64.8,20,1993
13,Indians,100,48.8,13.3,1993
14,Phillies,96,61.1,0.5,1993
15,Braves,96,79,-1.4,1993
16,Brewers,96,46.3,-2.2,1993
17,Royals,94,51.7,-6.3,1993
18,Angels,93,53.8,2.6,1993
19,Giants,93,69.1,-0.7,1993
20,Tigers,89,55.6,-5.4,1993
21,Reds,86,52.9,-5,1993
22,Padres,85,47.7,17.5,1993
23,Astros,85,60.5,6.7,1993
24,Twins,83,48.9,1,1993
25,Marlins,81,44.9,12.5,1993
26,Mariners,80,50.7,-4,1993
27,Pirates,79,43,4.1,1993
28,Expos,75,46.2,12.4,1993
1,Yankees,185,71.5,8.7,1994
2,Orioles,164,53.1,5.5,1994
3,Rangers,157,50.1,5.2,1994
4,White Sox,152,45.5,-5.8,1994
5,Blue Jays,146,56.4,1.4,1994
6,Red Sox,143,49.9,0.2,1994
7,Dodgers,143,49.5,-4.1,1994
8,Cubs,135,53.8,3.7,1994
9,Mets,134,45,-2.2,1994
10,Braves,120,55.8,-5.3,1994
11,Rockies,117,43.5,4.6,1994
12,Cardinals,110,39.3,-4,1994
13,Indians,103,41,-4.5,1994
14,Giants,102,43.1,-10.3,1994
15,Athletics,101,36.7,-10.6,1994
16,Phillies,96,41.1,-3.7,1994
17,Royals,96,31.9,-17.4,1994
18,Marlins,92,40.9,9,1994
19,Astros,92,34.3,-8.4,1994
20,Angels,88,30,-8.7,1994
21,Reds,84,30.6,-16.8,1994
22,Tigers,83,33,-15.7,1994
23,Twins,80,26.2,-9.6,1994
24,Mariners,76,27.4,-12.1,1994
25,Expos,76,25.8,-3.8,1994
26,Brewers,75,26,-12,1994
27,Padres,74,25,-1.6,1994
28,Pirates,70,25.6,-6.1,1994
1,Yankees,209,93.9,24,1995
2,Orioles,168,75.1,6,1995
3,Braves,163,60.7,-2.9,1995
4,Blue Jays,152,62.5,-1.6,1995
5,Dodgers,147,70.9,12.8,1995
6,White Sox,144,55.7,-8,1995
7,Red Sox,143,67.9,15.4,1995
8,Cubs,140,62.9,4.8,1995
9,Rangers,138,61.9,7.6,1995
10,Rockies,133,70.3,11.5,1995
11,Mets,131,61.5,20.8,1995
12,Indians,125,60.2,1.4,1995
13,Giants,122,46.4,-1.9,1995
14,Cardinals,112,48.8,0.9,1995
15,Tigers,106,39.1,-5.3,1995
16,Phillies,103,45.3,3.4,1995
17,Reds,99,40.4,-11.8,1995
18,Marlins,98,47.8,6.8,1995
19,Astros,97,44.4,-4.5,1995
20,Athletics,97,41.2,-4.9,1995
21,Mariners,92,36.7,-9.8,1995
22,Angels,90,39,-3,1995
23,Royals,80,35.8,-6.9,1995
24,Twins,74,30.2,2.5,1995
25,Brewers,71,29.5,1,1995
26,Expos,68,29.3,7.1,1995
27,Padres,67,28.2,-5.1,1995
28,Pirates,62,24.9,-1.7,1995
1,Yankees,241,133.3,38.3,1996
2,Orioles,207,105.3,19,1996
3,Braves,199,79.1,-0.4,1996
4,Rockies,184,95.6,23,1996
5,Dodgers,178,88.6,13.5,1996
6,Indians,175,95.4,15.6,1996
7,Rangers,174,87.7,18.9,1996
8,Red Sox,172,88.4,16.3,1996
9,Cubs,165,76.6,18.3,1996
10,Blue Jays,155,70.2,14.5,1996
11,White Sox,149,70.3,-5.2,1996
12,Mets,144,68.3,11,1996
13,Cardinals,134,69.8,3.2,1996
14,Giants,128,51.8,-6,1996
15,Marlins,123,55.8,2.8,1996
16,Athletics,115,49.4,11.3,1996
17,Astros,114,62.4,11.5,1996
18,Phillies,112,50,-6.5,1996
19,Tigers,110,44.4,3.8,1996
20,Mariners,107,57.6,-1.7,1996
21,Reds,95,45.3,-14,1996
22,Angels,93,42.5,-2.4,1996
23,Brewers,92,41.6,6.6,1996
24,Royals,88,43.1,4.7,1996
25,Padres,86,52.8,2.5,1996
26,Expos,77,40.9,6.2,1996
27,Twins,77,41.1,-1.3,1996
28,Pirates,71,39.9,1.4,1996
1,Yankees,362,144.7,21.4,1997
2,Orioles,323,134.5,18.7,1997
3,Indians,322,134,15.4,1997
4,Rockies,303,116.6,38.3,1997
5,Braves,299,119.6,18.2,1997
6,Rangers,254,97.6,9.1,1997
7,Mariners,251,89.8,11.4,1997
8,Dodgers,236,94.3,0.9,1997
9,Red Sox,230,92.1,7.7,1997
10,White Sox,214,82.3,-4.2,1997
11,Cubs,204,81.5,8.1,1997
12,Mets,193,80.5,8.1,1997
13,Astros,190,68,2.3,1997
14,Giants,188,69.8,0.2,1997
15,Cardinals,174,82.9,2.4,1997
16,Padres,161,57.6,-6.7,1997
17,Marlins,159,88.2,-5.5,1997
18,Angels,157,62.6,-9.6,1997
19,Blue Jays,141,67.1,-20.5,1997
20,Tigers,137,50.6,-0.4,1997
21,Reds,136,50.2,-19.9,1997
22,Pirates,133,49.3,7.5,1997
23,Phillies,131,57.1,2.5,1997
24,Brewers,127,46.9,-4.8,1997
25,Athletics,118,56.4,7.5,1997
26,Royals,108,51.2,-11.8,1997
27,Twins,94,46.8,-16.5,1997
28,Expos,87,43.6,-3.7,1997
1,Yankees,491,175.5,23,1998
2,Indians,359,149.7,19,1998
3,Braves,357,142.7,16.4,1998
4,Orioles,351,140.5,8.5,1998
5,Rockies,311,124.6,19.5,1998
6,Diamondbacks,291,116.3,22.5,1998
7,Rangers,281,108.1,0.5,1998
8,Dodgers,270,107.9,-11.7,1998
9,Red Sox,256,106.9,-7.6,1998
10,Mets,249,99.7,-5.2,1998
11,Astros,239,82.5,-3.7,1998
12,Mariners,236,81.3,-8.6,1998
13,Devil Rays,225,93.7,20.6,1998
14,Cubs,224,93.1,-7.9,1998
15,Giants,213,73.3,-6.4,1998
16,Cardinals,205,97.8,1.6,1998
17,Padres,205,78.9,-8,1998
18,Angels,195,88.5,-0.2,1998
19,White Sox,178,74.1,0.2,1998
20,Reds,163,54.4,0.6,1998
21,Blue Jays,162,73.4,-9.5,1998
22,Brewers,155,55.5,-8.8,1998
23,Marlins,153,69.5,8.6,1998
24,Tigers,152,54.2,-4.5,1998
25,Phillies,145,66,4.5,1998
26,Pirates,145,51.7,2.6,1998
27,Athletics,125,56.7,3.3,1998
28,Royals,98,53.5,-10.9,1998
29,Twins,89,46.8,-7.1,1998
30,Expos,84,46.5,5.6,1998
1,Yankees,548,195.6,17.5,1999
2,Braves,388,155.2,18.3,1999
3,Indians,364,151.7,16.5,1999
4,Orioles,347,138.8,-0.7,1999
5,Dodgers,325,120.3,-21.1,1999
6,Mets,314,125.6,-1.2,1999
7,Rockies,305,122.2,7.9,1999
8,Rangers,294,117.5,-9.5,1999
9,Mariners,290,111.6,5.5,1999
10,Red Sox,284,123.3,2.4,1999
11,Astros,280,93.3,-5.5,1999
12,Diamondbacks,268,111.5,12.9,1999
13,Cubs,242,105.4,-1.6,1999
14,Giants,237,71.9,-9,1999
15,Cardinals,219,104.5,5.4,1999
16,Tigers,200,71.5,1.1,1999
17,Padres,197,78.9,-8.8,1999
18,Angels,195,90.7,-2.5,1999
19,Reds,175,49.4,-5.1,1999
20,Brewers,167,60.8,-14.4,1999
21,White Sox,166,73.8,11.7,1999
22,Devil Rays,163,77.5,-6.5,1999
23,Blue Jays,162,73.7,-2.8,1999
24,Pirates,161,57.6,0.2,1999
25,Phillies,150,68.1,3,1999
26,Athletics,134,60.9,3.9,1999
27,Marlins,125,59.3,2.4,1999
28,Royals,122,62.5,5.8,1999
29,Twins,91,47.7,2.2,1999
30,Expos,89,47.1,1.9,1999
1,Yankees,645,192.4,21.9,2000
2,Mets,454,162,21.3,2000
3,Braves,407,145.5,7.7,2000
4,Dodgers,381,131.3,-17.4,2000
5,Indians,372,142.9,4.2,2000
6,Rangers,342,126.5,7.4,2000
7,Red Sox,339,125.7,-7.3,2000
8,Orioles,335,124,2.1,2000
9,Rockies,334,119.1,6.4,2000
10,Giants,333,138.8,27.4,2000
11,Mariners,332,138.3,17.8,2000
12,Astros,318,122.2,22.3,2000
13,Tigers,290,120.8,12.1,2000
14,Cubs,247,112.4,9.1,2000
15,Diamondbacks,245,109.1,-7.9,2000
16,Cardinals,243,110.5,-3,2000
17,White Sox,213,92.6,17.8,2000
18,Pirates,211,70.4,2.3,2000
19,Brewers,209,69.6,-1.6,2000
20,Angels,198,94.4,-8.9,2000
21,Reds,187,77.8,6.9,2000
22,Padres,176,84,-8,2000
23,Blue Jays,161,80.3,-5.9,2000
24,Phillies,158,79.2,-1.1,2000
25,Devil Rays,150,81.3,-11.3,2000
26,Athletics,149,74.7,5.2,2000
27,Royals,138,72.6,4.3,2000
28,Marlins,128,67.3,6.5,2000
29,Twins,99,58,5.8,2000
30,Expos,92,53.9,-8.1,2000
1,Yankees,730,215,18.7,2001
2,Mets,482,169,14.3,2001
3,Dodgers,435,143,-29.6,2001
4,Red Sox,426,152,-11.4,2001
5,Braves,424,160,9.5,2001
6,Mariners,373,166,14.1,2001
7,Indians,360,150,-3.6,2001
8,Rangers,356,134,-6.5,2001
9,Giants,355,142,16.8,2001
10,Rockies,347,129,6.7,2001
11,Astros,337,125,4.1,2001
12,Orioles,319,133,3.2,2001
13,Cubs,287,131,7.9,2001
14,Diamondbacks,280,127,-3.9,2001
15,Cardinals,271,123,-5.1,2001
16,Tigers,262,114,12.3,2001
17,Pirates,242,108,9.5,2001
18,Brewers,238,108,18.8,2001
19,Phillies,231,94,2.6,2001
20,White Sox,223,101,-3.8,2001
21,Padres,207,92,5.7,2001
22,Reds,204,87,4.3,2001
23,Angels,195,103,5.7,2001
24,Blue Jays,182,91,-20.6,2001
25,Athletics,157,90,6.8,2001
26,Royals,152,85,2.2,2001
27,Devil Rays,142,92,-6.1,2001
28,Marlins,137,81,1.4,2001
29,Twins,127,75,3.6,2001
30,Expos,108,63,-3.4,2001
1,Yankees,849,223,16.1,2002
2,Mets,498,175,11.6,2002
3,Red Sox,488,171,-2.1,2002
4,Dodgers,449,150,-25,2002
5,Braves,423,163,9.5,2002
6,Mariners,385,167,23.3,2002
7,Giants,382,159,13.9,2002
8,Cubs,335,143,11.9,2002
9,Rangers,332,131,-24.5,2002
10,Indians,331,141,-1,2002
11,Astros,327,121,-0.8,2002
12,Orioles,310,129,12.4,2002
13,Cardinals,308,128,-2,2002
14,Rockies,304,121,7.1,2002
15,Diamondbacks,269,122,-22.2,2002
16,Phillies,239,97,-11.9,2002
17,Tigers,237,108,-5.3,2002
18,White Sox,233,106,1.2,2002
19,Padres,226,98,4.6,2002
20,Angels,225,118,-3.7,2002
21,Pirates,224,101,-1.6,2002
22,Reds,223,91,4.9,2002
23,Brewers,206,98,-6.1,2002
24,Athletics,172,96,6.6,2002
25,Blue Jays,166,90,-23.9,2002
26,Royals,153,85,-11.2,2002
27,Twins,148,87,0.4,2002
28,Devil Rays,145,91,1.4,2002
29,Marlins,136,76,-14,2002
30,Expos,113,66,-9.1,2002
1,Yankees,832,238,-26.3,2003
2,Red Sox,533,190,-11.4,2003
3,Mets,442,158,-19.3,2003
4,Dodgers,399,154,-19.1,2003
5,Mariners,396,169,17,2003
6,Braves,374,156,-0.3,2003
7,Giants,368,153,0.7,2003
8,Cubs,358,156,8.3,2003
9,Astros,320,128,-1.9,2003
10,Cardinals,314,131,-11.1,2003
11,Rangers,306,127,-28.5,2003
12,Orioles,296,129,9.1,2003
13,Indians,292,127,10.4,2003
14,Rockies,285,124,-6.3,2003
15,Phillies,281,115,-12.5,2003
16,Diamondbacks,276,126,-15.2,2003
17,Padres,265,106,4.9,2003
18,White Sox,248,124,12.8,2003
19,Reds,245,123,11.7,2003
20,Angels,241,127,-5.5,2003
21,Tigers,235,117,0.3,2003
22,Pirates,217,109,-0.3,2003
23,Athletics,186,110,11.2,2003
24,Brewers,174,102,5.1,2003
25,Marlins,172,101,-11.6,2003
26,Royals,171,98,6.6,2003
27,Blue Jays,169,99,0,2003
28,Twins,168,99,-7.1,2003
29,Devil Rays,152,101,7.5,2003
30,Expos,145,81,-8.3,2003
1,Yankees,950,264,-37.1,2004
2,Red Sox,563,201,-11.3,2004
3,Mets,505,180,-11.2,2004
4,Dodgers,424,166,-7.4,2004
5,Mariners,415,173,10.8,2004
6,Cubs,398,170,11.4,2004
7,Phillies,392,167,6.1,2004
8,Braves,382,162,15.4,2004
9,Giants,381,159,6.9,2004
10,Cardinals,370,151,-3.9,2004
11,Astros,357,155,9.6,2004
12,Orioles,341,148,34,2004
13,Padres,329,150,17.1,2004
14,Rangers,326,142,2.9,2004
15,Indians,319,139,27.2,2004
16,Nationals,310,80,-3,2004
17,Angels,294,147,-30,2004
18,Rockies,290,132,-7.8,2004
19,Diamondbacks,286,136,-18.7,2004
20,White Sox,262,131,8.1,2004
21,Reds,255,127,22.6,2004
