yearID,lgID,teamID,franchID,name,teamIDBR,teamIDlahman45,teamIDretro
1990,NL,ATL,ATL,Atlanta Braves,ATL,ATL,ATL
1990,AL,BAL,BAL,Baltimore Orioles,BAL,BAL,BAL
1990,AL,BOS,BOS,Boston Red Sox,BOS,BOS,BOS
1990,AL,CAL,ANA,California Angels,CAL,CAL,CAL
1990,AL,CHA,CHW,Chicago White Sox,CHW,CHA,CHA
1990,NL,CHN,CHC,Chicago Cubs,CHC,CHN,CHN
1990,NL,CIN,CIN,Cincinnati Reds,CIN,CIN,CIN
1990,AL,CLE,CLE,Cleveland Indians,CLE,CLE,CLE
1990,AL,DET,DET,Detroit Tigers,DET,DET,DET
1990,NL,HOU,HOU,Houston Astros,HOU,HOU,HOU
1990,AL,KCA,KCR,Kansas City Royals,KCR,KCA,KCA
1990,NL,LAN,LAD,Los Angeles Dodgers,LAD,LAN,LAN
1990,AL,MIN,MIN,Minnesota Twins,MIN,MIN,MIN
1990,AL,ML4,MIL,Milwaukee Brewers,MIL,MIL,MIL
1990,NL,MON,WSN,Montreal Expos,MON,MON,MON
1990,AL,NYA,NYY,New York Yankees,NYY,NYA,NYA
1990,NL,NYN,NYM,New York Mets,NYM,NYN,NYN
1990,AL,OAK,OAK,Oakland Athletics,OAK,OAK,OAK
1990,NL,PHI,PHI,Philadelphia Phillies,PHI,PHI,PHI
1990,NL,PIT,PIT,Pittsburgh Pirates,PIT,PIT,PIT
1990,NL,SDN,SDP,San Diego Padres,SDP,SDN,SDN
1990,AL,SEA,SEA,Seattle Mariners,SEA,SEA,SEA
1990,NL,SFN,SFG,San Francisco Giants,SFG,SFN,SFN
1990,NL,SLN,STL,St. Louis Cardinals,STL,SLN,SLN
1990,AL,TEX,TEX,Texas Rangers,TEX,TEX,TEX
1990,AL,TOR,TOR,Toronto Blue Jays,TOR,TOR,TOR
1991,NL,ATL,ATL,Atlanta Braves,ATL,ATL,ATL
1991,AL,BAL,BAL,Baltimore Orioles,BAL,BAL,BAL
1991,AL,BOS,BOS,Boston Red Sox,BOS,BOS,BOS
1991,AL,CAL,ANA,California Angels,CAL,CAL,CAL
1991,AL,CHA,CHW,Chicago White Sox,CHW,CHA,CHA
1991,NL,CHN,CHC,Chicago Cubs,CHC,CHN,CHN
1991,NL,CIN,CIN,Cincinnati Reds,CIN,CIN,CIN
1991,AL,CLE,CLE,Cleveland Indians,CLE,CLE,CLE
1991,AL,DET,DET,Detroit Tigers,DET,DET,DET
1991,NL,HOU,HOU,Houston Astros,HOU,HOU,HOU
1991,AL,KCA,KCR,Kansas City Royals,KCR,KCA,KCA
1991,NL,LAN,LAD,Los Angeles Dodgers,LAD,LAN,LAN
1991,AL,MIN,MIN,Minnesota Twins,MIN,MIN,MIN
1991,AL,ML4,MIL,Milwaukee Brewers,MIL,MIL,MIL
1991,NL,MON,WSN,Montreal Expos,MON,MON,MON
1991,AL,NYA,NYY,New York Yankees,NYY,NYA,NYA
1991,NL,NYN,NYM,New York Mets,NYM,NYN,NYN
1991,AL,OAK,OAK,Oakland Athletics,OAK,OAK,OAK
1991,NL,PHI,PHI,Philadelphia Phillies,PHI,PHI,PHI
1991,NL,PIT,PIT,Pittsburgh Pirates,PIT,PIT,PIT
1991,NL,SDN,SDP,San Diego Padres,SDP,SDN,SDN
1991,AL,SEA,SEA,Seattle Mariners,SEA,SEA,SEA
1991,NL,SFN,SFG,San Francisco Giants,SFG,SFN,SFN
1991,NL,SLN,STL,St. Louis Cardinals,STL,SLN,SLN
1991,AL,TEX,TEX,Texas Rangers,TEX,TEX,TEX
1991,AL,TOR,TOR,Toronto Blue Jays,TOR,TOR,TOR
1992,NL,ATL,ATL,Atlanta Braves,ATL,ATL,ATL
1992,AL,BAL,BAL,Baltimore Orioles,BAL,BAL,BAL
1992,AL,BOS,BOS,Boston Red Sox,BOS,BOS,BOS
1992,AL,CAL,ANA,California Angels,CAL,CAL,CAL
1992,AL,CHA,CHW,Chicago White Sox,CHW,CHA,CHA
1992,NL,CHN,CHC,Chicago Cubs,CHC,CHN,CHN
1992,NL,CIN,CIN,Cincinnati Reds,CIN,CIN,CIN
1992,AL,CLE,CLE,Cleveland Indians,CLE,CLE,CLE
1992,AL,DET,DET,Detroit Tigers,DET,DET,DET
1992,NL,HOU,HOU,Houston Astros,HOU,HOU,HOU
1992,AL,KCA,KCR,Kansas City Royals,KCR,KCA,KCA
1992,NL,LAN,LAD,Los Angeles Dodgers,LAD,LAN,LAN
1992,AL,MIN,MIN,Minnesota Twins,MIN,MIN,MIN
1992,AL,ML4,MIL,Milwaukee Brewers,MIL,MIL,MIL
1992,NL,MON,WSN,Montreal Expos,MON,MON,MON
1992,AL,NYA,NYY,New York Yankees,NYY,NYA,NYA
